iter	Passed	Remaining
0	63	6315
1	72	3536
2	81	2625
3	90	2177
4	99	1889
5	109	1710
6	120	1604
7	131	1510
8	140	1423
9	151	1363
10	162	1313
11	173	1274
12	185	1240
13	196	1208
14	209	1185
15	219	1153
16	230	1124
17	240	1097
18	250	1068
19	259	1037
20	268	1008
21	278	989
22	290	972
23	300	951
24	309	929
25	318	905
26	326	882
27	334	860
28	343	841
29	353	824
30	363	809
31	373	793
32	382	777
33	393	764
34	403	749
35	413	735
36	424	722
37	435	709
38	445	697
39	456	685
40	467	673
41	479	662
42	489	648
43	498	634
44	508	621
45	518	608
46	528	596
47	539	583
48	549	571
49	559	559
50	569	546
51	580	535
52	590	523
53	601	512
54	612	500
55	622	489
56	632	477
57	642	465
58	652	453
59	663	442
60	674	431
61	683	418
62	694	408
63	704	396
64	714	384
65	724	373
66	734	361
67	745	350
68	755	339
69	765	328
70	775	316
71	785	305
72	795	294
73	806	283
74	816	272
75	826	261
76	836	249
77	847	239
78	858	228
79	868	217
80	877	205
81	888	194
82	898	184
83	910	173
84	920	162
85	930	151
86	941	140
87	951	129
88	960	118
89	969	107
90	980	96
91	990	86
92	1002	75
93	1011	64
94	1020	53
95	1029	42
96	1038	32
97	1047	21
98	1056	10
99	1066	0
