iter	Passed	Remaining
0	61	6044
1	64	3146
2	67	2178
3	70	1690
4	73	1400
5	77	1214
6	80	1068
7	83	963
8	86	879
9	89	809
10	92	751
11	96	705
12	99	664
13	102	629
14	105	598
15	108	569
16	111	544
17	114	521
18	117	501
19	120	482
20	123	465
21	127	451
22	130	436
23	133	422
24	136	409
25	139	396
26	142	385
27	145	374
28	148	364
29	151	354
30	155	345
31	158	336
32	162	329
33	165	321
34	169	314
35	172	306
36	176	299
37	179	292
38	182	286
39	186	279
40	189	273
41	193	267
42	197	261
43	200	255
44	203	249
45	208	244
46	212	239
47	216	234
48	220	229
49	224	224
50	228	219
51	232	214
52	236	209
53	240	204
54	244	200
55	249	195
56	253	191
57	257	186
58	261	181
59	266	177
60	270	172
61	274	168
62	278	163
63	282	159
64	287	154
65	291	150
66	295	145
67	300	141
68	304	136
69	308	132
70	312	127
71	317	123
72	321	118
73	327	115
74	331	110
75	336	106
76	340	101
77	345	97
78	349	93
79	354	88
80	359	84
81	363	79
82	366	75
83	371	70
84	375	66
85	379	61
86	384	57
87	388	52
88	392	48
89	396	44
90	401	39
91	405	35
92	410	30
93	414	26
94	418	22
95	423	17
96	427	13
97	431	8
98	435	4
99	438	0
